"";"Cambio";"CapBat";"Autonomia";"TamPneu";"ConsMedio"
"1";1;1;0,723192019950125;0,714285714285714;24,45
"2";1;0,689922480620155;0,478802992518703;0,714285714285714;23,8
"3";1;1;0,538653366583541;0,857142857142857;27,55
"4";1;0,689922480620155;0,493765586034913;0,714285714285714;23,3
"5";1;1;0,745635910224439;0,714285714285714;23,85
"6";1;1;0,551122194513716;0,857142857142857;27,2
"7";0,5;0,317829457364341;0,526184538653367;0,714285714285714;13,1
"8";0,5;0,317829457364341;0,491271820448878;0,857142857142857;14,3
"9";0,5;0,806201550387597;0,778054862842893;0,714285714285714;18,8
"10";0;0,418604651162791;0,428927680798005;0,428571428571429;15,6
"11";0,5;0,231266149870801;0,184538653366584;0,285714285714286;17,2
"12";0,5;0,231266149870801;0,184538653366584;0,428571428571429;17,5
"13";0;0,267441860465116;0,406483790523691;0,285714285714286;13,8
"14";0;0,27906976744186;0,351620947630923;0,428571428571429;15
"15";0;0,599483204134367;0,750623441396509;0,428571428571429;15,4
"16";1;0,935400516795866;0,802992518703242;0,857142857142857;21,2
"17";0;0,27906976744186;0,351620947630923;0,428571428571429;15,3
"18";0;0,599483204134367;0,765586034912718;0,428571428571429;15,9
"19";0;0,27906976744186;0,319201995012469;0,428571428571429;15,6
"20";0;0,599483204134367;0,758104738154613;0,428571428571429;15,7
"21";0;0,231266149870801;0,129675810473815;0,571428571428571;14,5
"22";1;0,806201550387597;0,663341645885287;0,714285714285714;21,85
"23";0;0,145994832041344;0,214463840399002;0,285714285714286;16,75
"24";0;0,289405684754522;0,304239401496259;0,285714285714286;18,5
"25";0;0,573643410852713;0,591022443890274;0,428571428571429;17,1
"26";0;0,418604651162791;0,471321695760599;0,285714285714286;16,65
"27";0;0,418604651162791;0,438902743142145;0,285714285714286;17,6
"28";0;0,418604651162791;0,478802992518703;0,285714285714286;16,4
"29";1;0,795865633074935;0,645885286783042;0,714285714285714;23,4
"30";1;0,979328165374677;0,785536159600998;0,714285714285714;24,1
"31";1;0,979328165374677;0,753117206982544;0,857142857142857;24,85
"32";1;0,979328165374677;0,658354114713217;1;25,1
"33";0;0,444444444444444;0,615960099750623;0,142857142857143;16,5
"34";0;0,444444444444444;0,615960099750623;0,285714285714286;16,5
"35";0;0,248062015503876;0,27930174563591;0;15,45
"36";0,5;0;0,0149625935162095;0,142857142857143;16,35
"37";0,5;0;0;0,142857142857143;17
"38";0;0,189922480620155;0,27431421446384;0;14
"39";0,5;0,521963824289406;0,690773067331671;0,571428571428571;15,4
"40";0,5;0,767441860465116;1;0,714285714285714;15,9
"41";0,5;0,767441860465116;0,877805486284289;0,857142857142857;18
"42";0;0,418604651162791;0,204488778054863;0,285714285714286;25,2
